Date,1m,3m,6m,12m
04/04/2000,18.5224,18.5657,18.5205,18.4837
05/04/2000,18.5777,18.7533,18.7748,18.7
06/04/2000,18.6,18.8567,18.8645,18.8277
07/04/2000,18.5544,18.6807,18.6424,18.6444
08/04/2000,18.5544,18.6807,18.6424,18.6444
09/04/2000,18.5544,18.6807,18.6424,18.6444
10/04/2000,18.5697,18.6809,18.7268,18.7881
11/04/2000,18.5947,18.7895,18.8573,18.9411
12/04/2000,18.658,18.8019,18.9295,19.0446
13/04/2000,18.8164,19.0686,19.3004,19.365
14/04/2000,18.803,19.1965,19.5552,19.8955
15/04/2000,18.803,19.1965,19.5552,19.8955
16/04/2000,18.803,19.1965,19.5552,19.8955
17/04/2000,18.8611,19.3827,19.7782,19.9368
18/04/2000,18.6585,18.8536,19.3582,19.6519
19/04/2000,18.7584,18.9063,19.365,19.6318
20/04/2000,18.7942,18.9982,19.4356,19.706
21/04/2000,18.7942,18.9982,19.4356,19.706
22/04/2000,18.7942,18.9982,19.4356,19.706
23/04/2000,18.7942,18.9982,19.4356,19.706
24/04/2000,18.8095,19.2563,19.8396,20.1058
25/04/2000,18.8322,19.2039,19.6853,20.0702
26/04/2000,18.7789,19.2301,19.8623,20.2076
27/04/2000,18.7139,19.173,19.6306,20.1494
28/04/2000,18.8635,19.1553,19.6601,20.2251
29/04/2000,18.8635,19.1553,19.6601,20.2251
30/04/2000,18.8635,19.1553,19.6601,20.2251
01/05/2000,18.8635,19.1553,19.6601,20.2251
02/05/2000,18.847,19.2733,19.9305,20.6528
03/05/2000,18.9114,19.4089,20.3832,21.4914
04/05/2000,19.0447,19.8765,21.0081,22.2831
05/05/2000,18.7425,19.2165,20.2535,21.3474
06/05/2000,18.7425,19.2165,20.2535,21.3474
07/05/2000,18.7425,19.2165,20.2535,21.3474
08/05/2000,18.7518,19.2074,20.3692,21.6172
09/05/2000,18.7676,19.1115,20.0877,21.5251
10/05/2000,18.7745,19.0855,20.0657,21.5979
11/05/2000,18.7716,19.1387,20.3211,21.8438
12/05/2000,18.8758,19.2945,20.5787,21.9974
13/05/2000,18.8758,19.2945,20.5787,21.9974
14/05/2000,18.8758,19.2945,20.5787,21.9974
15/05/2000,18.8631,19.2131,20.2487,21.5958
16/05/2000,18.7895,19.0985,20.1199,21.2428
17/05/2000,18.8228,19.1352,20.2172,21.3558
18/05/2000,18.8949,19.3202,20.4846,21.6198
19/05/2000,18.9278,19.4375,20.7759,21.9128
20/05/2000,18.9278,19.4375,20.7759,21.9128
21/05/2000,18.9278,19.4375,20.7759,21.9128
22/05/2000,19.0688,19.6165,21.031,22.3101
23/05/2000,19.0364,19.7034,21.1792,22.5015
24/05/2000,18.9076,19.3489,20.7061,22.0304
25/05/2000,18.8854,19.2775,20.7166,21.9662
26/05/2000,18.7234,19.1641,20.4541,21.7658
27/05/2000,18.7234,19.1641,20.4541,21.7658
28/05/2000,18.7234,19.1641,20.4541,21.7658
29/05/2000,18.732,19.1641,20.4415,21.6711
30/05/2000,18.6886,19.0766,20.1944,21.4398
31/05/2000,18.611,19.034000000000002,20.0357,21.225
01/06/2000,18.6952,18.9563,19.6932,20.6713
02/06/2000,18.5708,18.7906,19.3036,20.2087
03/06/2000,18.5708,18.7906,19.3036,20.2087
04/06/2000,18.5708,18.7906,19.3036,20.2087
05/06/2000,18.5555,18.7696,19.2887,20.1142
06/06/2000,18.5018,18.7213,19.352,20.2325
07/06/2000,18.454,18.6182,19.1938,20.1004
08/06/2000,18.4201,18.6138,19.3093,20.1813
09/06/2000,18.4703,18.6142,19.2136,20.0552
10/06/2000,18.4703,18.6142,19.2136,20.0552
11/06/2000,18.4703,18.6142,19.2136,20.0552
12/06/2000,18.4614,18.682000000000002,19.3107,20.1467
13/06/2000,18.3909,18.5753,19.1301,19.9416
14/06/2000,18.3663,18.5362,19.0261,19.8943
15/06/2000,18.4358,18.5126,18.9814,19.717
16/06/2000,18.2994,18.4351,18.9331,19.5967
17/06/2000,18.2994,18.4351,18.9331,19.5967
18/06/2000,18.2994,18.4351,18.9331,19.5967
19/06/2000,18.1968,18.3901,18.8491,19.4383
20/06/2000,18.2597,18.4043,18.8105,19.3421
21/06/2000,17.4224,17.5023,17.8918,18.406
22/06/2000,17.4224,17.5023,17.8918,18.406
23/06/2000,17.5459,17.7191,18.2407,18.866
24/06/2000,17.5459,17.7191,18.2407,18.866
25/06/2000,17.5459,17.7191,18.2407,18.866
26/06/2000,17.416,17.633,18.1168,18.7601
27/06/2000,17.3276,17.5103,18.007,18.7045
28/06/2000,17.1824,17.410999999999998,17.9684,18.6973
29/06/2000,17.2534,17.3856,17.9278,18.5965
30/06/2000,17.2637,17.4923,18.0719,18.7104
01/07/2000,17.2637,17.4923,18.0719,18.7104
02/07/2000,17.2637,17.4923,18.0719,18.7104
03/07/2000,17.2656,17.3686,17.9113,18.5374
04/07/2000,17.246,17.4189,17.9918,18.5502
05/07/2000,17.2445,17.4235,17.820999999999998,18.3124
06/07/2000,17.3045,17.4375,17.8229,18.2476
07/07/2000,17.296,17.422,17.785999999999998,18.2592
08/07/2000,17.296,17.422,17.785999999999998,18.2592
09/07/2000,17.296,17.422,17.785999999999998,18.2592
10/07/2000,17.0329,17.2529,17.6818,18.175
11/07/2000,17.0566,17.3958,17.8966,18.3932
12/07/2000,16.994,17.3736,17.9276,18.5801
13/07/2000,17.0708,17.5688,18.2504,18.977
14/07/2000,17.0244,17.3868,17.9928,18.7426
15/07/2000,17.0244,17.3868,17.9928,18.7426
16/07/2000,17.0244,17.3868,17.9928,18.7426
17/07/2000,16.9151,17.1846,17.7357,18.4206
18/07/2000,17.0114,17.2581,17.8805,18.5774
19/07/2000,16.9738,17.2746,17.9506,18.6067
20/07/2000,16.652,16.9669,17.6314,18.385
21/07/2000,16.666,16.9085,17.4458,18.1661
22/07/2000,16.666,16.9085,17.4458,18.1661
23/07/2000,16.666,16.9085,17.4458,18.1661
24/07/2000,16.58,16.8434,17.3372,17.9845
25/07/2000,16.6413,16.8978,17.3947,17.8399
26/07/2000,16.6141,16.8644,17.2746,17.7365
27/07/2000,16.6063,16.8615,17.2876,17.7754
28/07/2000,16.6167,16.9056,17.3569,17.8548
29/07/2000,16.6167,16.9056,17.3569,17.8548
30/07/2000,16.6167,16.9056,17.3569,17.8548
31/07/2000,16.5093,16.8626,17.3414,17.9551
01/08/2000,16.4405,16.8089,17.33,17.9823
02/08/2000,16.4953,16.7978,17.2489,17.8533
03/08/2000,16.4697,16.6052,16.9768,17.6068
04/08/2000,16.3874,16.5685,16.8985,17.555999999999997
05/08/2000,16.3874,16.5685,16.8985,17.555999999999997
06/08/2000,16.3874,16.5685,16.8985,17.555999999999997
07/08/2000,16.3678,16.5633,16.8936,17.5368
08/08/2000,16.375999999999998,16.570999999999998,16.8643,17.4252
09/08/2000,16.3863,16.5582,16.8014,17.3568
10/08/2000,16.3822,16.4838,16.6928,17.1693
11/08/2000,16.3533,16.442999999999998,16.5933,16.9458
12/08/2000,16.3533,16.442999999999998,16.5933,16.9458
13/08/2000,16.3533,16.442999999999998,16.5933,16.9458
14/08/2000,16.3168,16.2948,16.4287,16.8029
15/08/2000,16.3766,16.3859,16.5367,16.9666
16/08/2000,16.4152,16.5122,16.7618,17.1947
17/08/2000,16.3679,16.4318,16.6285,16.9844
18/08/2000,16.3676,16.5463,16.8347,17.2483
19/08/2000,16.3676,16.5463,16.8347,17.2483
20/08/2000,16.3676,16.5463,16.8347,17.2483
21/08/2000,16.3763,16.5434,16.8062,17.1966
22/08/2000,16.3401,16.3603,16.5602,16.9254
23/08/2000,16.3607,16.4226,16.6137,17.0922
24/08/2000,16.5096,16.4932,16.6272,17.0487
25/08/2000,16.5056,16.5714,16.7617,17.1385
26/08/2000,16.5056,16.5714,16.7617,17.1385
27/08/2000,16.5056,16.5714,16.7617,17.1385
28/08/2000,16.5451,16.6519,16.9024,17.2619
29/08/2000,16.5589,16.6059,16.7899,17.1416
30/08/2000,16.5612,16.6171,16.8357,17.1486
31/08/2000,16.551,16.6929,16.8542,17.1344
01/09/2000,16.5139,16.6637,16.8517,17.1443
02/09/2000,16.5139,16.6637,16.8517,17.1443
03/09/2000,16.5139,16.6637,16.8517,17.1443
04/09/2000,16.4652,16.6315,16.8693,17.1544
05/09/2000,16.5352,16.6083,16.8041,17.1046
06/09/2000,16.4998,16.5638,16.735,17.0139
07/09/2000,16.4998,16.5638,16.735,17.0139
08/09/2000,16.4846,16.5582,16.6895,16.9309
